NV2.1832	uhrf1-like	UHRF1_like_1	UHRF1_BOVIN^UHRF1_BOVIN^Q:456-959,H:420-597^50.811%ID^E:1.51e-43^RecName: Full=E3 ubiquitin-protein ligase UHRF1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,UHRF1_BOVIN^UHRF1_BOVIN^Q:455-958,H:420-597^50.811%ID^E:1.24e-43^RecName: Full=E3 ubiquitin-protein ligase UHRF1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos,UHRF1_BOVIN^UHRF1_BOVIN^Q:492-995,H:420-597^50.811%ID^E:1.87e-43^RecName: Full=E3 ubiquitin-protein ligase UHRF1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos
NV2.12141	cdc6-like	CDC6_like_1	CDC6_HUMAN^CDC6_HUMAN^Q:87-1880,H:1-555^43.485%ID^E:1e-139^RecName: Full=Cell division control protein 6 homolog;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
NV2.22020	dpod3-like	DPOD3_like_1	DPOD3_CHICK^DPOD3_CHICK^Q:37-447,H:4-140^49.635%ID^E:1.47e-36^RecName: Full=DNA polymerase delta subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus,DPOD3_CHICK^DPOD3_CHICK^Q:37-447,H:4-140^49.635%ID^E:2.77e-40^RecName: Full=DNA polymerase delta subunit 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus
NV2.23431	exo1-like	EXO1_like_1	EXO1_DICDI^EXO1_DICDI^Q:580-741,H:132-180^46.296%ID^E:2.55e-09^RecName: Full=Exonuclease 1;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium`EXO1_DICDI^EXO1_DICDI^Q:381-596,H:18-92^26.316%ID^E:2.55e-09^RecName: Full=Exonuclease 1;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium
NV2.20752	ubr7-like	UBR7_like_1	UBR7_MOUSE^UBR7_MOUSE^Q:115-609,H:15-179^64.242%ID^E:4.44e-48^RecName: Full=Putative E3 ubiquitin-protein ligase UBR7;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`UBR7_MOUSE^UBR7_MOUSE^Q:1286-2092,H:165-424^35.145%ID^E:1.06e-40^RecName: Full=Putative E3 ubiquitin-protein ligase UBR7;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,UBR7_HUMAN^UBR7_HUMAN^Q:169-1371,H:33-424^47.044%ID^E:7.27e-109^RecName: Full=Putative E3 ubiquitin-protein ligase UBR7;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
NV2.12386	rpa2-like	RPA2_like_1	RPA2_HUMAN^RPA2_HUMAN^Q:796-1533,H:852-1134^54.545%ID^E:9.27e-95^RecName: Full=DNA-directed RNA polymerase I subunit RPA2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,RPA2_HUMAN^RPA2_HUMAN^Q:1200-1418,H:1065-1134^53.425%ID^E:1.28e-15^RecName: Full=DNA-directed RNA polymerase I subunit RPA2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`RPA2_HUMAN^RPA2_HUMAN^Q:85-201,H:1028-1066^76.923%ID^E:1.43e-10^RecName: Full=DNA-directed RNA polymerase I subunit RPA2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
NV2.16283	cdc45-like	CDC45_like_1	CDC45_HUMAN^CDC45_HUMAN^Q:608-1822,H:153-559^48.655%ID^E:3.05e-150^RecName: Full=Cell division control protein 45 homolog;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`CDC45_HUMAN^CDC45_HUMAN^Q:132-533,H:1-134^52.985%ID^E:3.05e-150^RecName: Full=Cell division control protein 45 homolog;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo,CDC45_MOUSE^CDC45_MOUSE^Q:513-686,H:501-559^55.932%ID^E:2.94e-11^RecName: Full=Cell division control protein 45 homolog;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus
NV2.8386	hells-like	HELLS_like_1	HELLS_HUMAN^HELLS_HUMAN^Q:1398-3800,H:56-838^49.455%ID^E:0^RecName: Full=Lymphoid-specific helicase;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
NV2.17585	ung-like	UNG_like_1	UNG_MOUSE^UNG_MOUSE^Q:259-1002,H:59-306^66.129%ID^E:7.95e-106^RecName: Full=Uracil-DNA glycosylase {ECO:0000255|HAMAP-Rule:MF_03166};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus,UNG_MOUSE^UNG_MOUSE^Q:258-887,H:59-306^53.629%ID^E:3.57e-73^RecName: Full=Uracil-DNA glycosylase {ECO:0000255|HAMAP-Rule:MF_03166};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus
NV2.9052	msh2-like	MSH2_like_1	MSH2_HUMAN^MSH2_HUMAN^Q:213-2687,H:101-927^61.372%ID^E:0^RecName: Full=DNA mismatch repair protein Msh2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`MSH2_HUMAN^MSH2_HUMAN^Q:82-198,H:1-39^56.41%ID^E:6.51e-06^RecName: Full=DNA mismatch repair protein Msh2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo
NV2.555	mcm2-like	MCM2_like_1	MCM2_XENTR^MCM2_XENTR^Q:85-2673,H:19-882^72.286%ID^E:0^RecName: Full=DNA replication licensing factor mcm2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana
